match_id,team1,team2,path,predicted_winner,elo,qualification_form,h2h,prediction
M83,K2(Colombia),L2(Panama),alt,Colombia (74%),Colombia (80%),Panama (59%),Colombia (92%),Colombia (74%)

M84,H1(Spain),J2(Austria),primary,Spain (81%),Spain (86%),Spain (53%),Spain (89%),Spain (81%)
M84,H1(Spain),J2(Algeria),alt,Spain (85%),Spain (91%),Spain (53%),Spain (100%),Spain (85%)

M85,B1(Switzerland),EFGIJ3(Egypt),primary,Switzerland (71%),Switzerland (75%),Egypt (52%),Switzerland (100%),Switzerland (71%)
M85,B1(Switzerland),EFGIJ3(Iran),alt,Switzerland (65%),Switzerland (68%),Switzerland (51%),Switzerland (50%),Switzerland (65%)
M85,B1(Switzerland),EFGIJ3(New Zealand),alt,Switzerland (80%),Switzerland (86%),New Zealand (56%),Switzerland (50%),Switzerland (80%)
M85,B1(Canada),EFGIJ3(Iran),alt,Canada (58%),Canada (61%),Iran (60%),Iran (57%),Canada (58%)
M85,B1(Canada),EFGIJ3(Egypt),alt,Canada (65%),Canada (70%),Egypt (63%),Egypt (100%),Canada (65%)
M85,B1(Canada),EFGIJ3(New Zealand),alt,Canada (75%),Canada (82%),New Zealand (67%),Canada (100%),Canada (75%)

M86,J1(Argentina),H2(Uruguay),primary,Argentina (71%),Argentina (73%),Argentina (56%),Argentina (74%),Argentina (71%)

M87,K1(Portugal),DEIJL3(Panama),primary,Portugal (76%),Portugal (81%),Panama (51%),Portugal (100%),Portugal (76%)
M87,K1(Portugal),DEIJL3(Croatia),alt,Portugal (59%),Portugal (61%),Croatia (55%),Portugal (67%),Portugal (59%)
M87,K1(Colombia),DEIJL3(Croatia),alt,Colombia (57%),Colombia (60%),Croatia (63%),Croatia (100%),Colombia (57%)
M87,K1(Colombia),DEIJL3(Panama),alt,Colombia (74%),Colombia (80%),Panama (59%),Colombia (92%),Colombia (74%)

M88,D2(United States),G2(Iran),primary,United States (57%),United States (60%),Iran (60%),United States (94%),United States (57%)
M88,D2(Turkey),G2(Belgium),alt,Belgium (51%),Belgium (51%),Belgium (52%),Turkey (55%),Belgium (51%)
M88,D2(Turkey),G2(Iran),alt,Turkey (64%),Turkey (66%),Turkey (50%),Turkey (100%),Turkey (64%)
M88,D2(Turkey),G2(Egypt),alt,Turkey (70%),Turkey (74%),Egypt (53%),Turkey (51%),Turkey (70%)
